pokemon_form_tree_id,pokemon_form_id,transition_grid_position,transition_grid_text_markup,transition_grid_text_html,text_top_markup,text_top_html,text_bottom_markup,text_bottom_html,grid_column,grid_row
35,375,,,,,,,,1,1
35,376,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Mawilite;ITEM;mawilite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/mawilite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Mawilite</span><img src=""https://cdn.pokedb.org/64abd2158462b7bfadeba931a5a7d5a35c842e8011608c148f5c1c472892a04cw20h20"" width=""20"" height=""20"" alt=""Item Icon for Mawilite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Mawilite;ITEM;mawilite},"While holding <a href=""/items/mawilite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Mawilite</span><img src=""https://cdn.pokedb.org/64abd2158462b7bfadeba931a5a7d5a35c842e8011608c148f5c1c472892a04cw20h20"" width=""20"" height=""20"" alt=""Item Icon for Mawilite"" style=""width: 20px; height: 20px""></a>",,,2,1
36,379,,,,,,,,1,1
36,380,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Aggronite;ITEM;aggronite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/aggronite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Aggronite</span><img src=""https://cdn.pokedb.org/11881f8ce87e6d84fffd8bcd7f5bbe0456ec31cc17239896af5f06493e9131b9w20h20"" width=""20"" height=""20"" alt=""Item Icon for Aggronite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Aggronite;ITEM;aggronite},"While holding <a href=""/items/aggronite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Aggronite</span><img src=""https://cdn.pokedb.org/11881f8ce87e6d84fffd8bcd7f5bbe0456ec31cc17239896af5f06493e9131b9w20h20"" width=""20"" height=""20"" alt=""Item Icon for Aggronite"" style=""width: 20px; height: 20px""></a>",,,2,1
37,382,,,,,,,,1,1
37,383,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Medichamite;ITEM;medichamite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/medichamite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Medichamite</span><img src=""https://cdn.pokedb.org/c626c3203c49d398900038cd6de3218b689a4c12d9321e42af7778e3f455d1b5w20h20"" width=""20"" height=""20"" alt=""Item Icon for Medichamite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Medichamite;ITEM;medichamite},"While holding <a href=""/items/medichamite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Medichamite</span><img src=""https://cdn.pokedb.org/c626c3203c49d398900038cd6de3218b689a4c12d9321e42af7778e3f455d1b5w20h20"" width=""20"" height=""20"" alt=""Item Icon for Medichamite"" style=""width: 20px; height: 20px""></a>",,,2,1
38,385,,,,,,,,1,1
38,386,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Manectite;ITEM;manectite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/manectite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Manectite</span><img src=""https://cdn.pokedb.org/02bdd7e77b9ba955d4514a640151ca7436c14efc2303480df2e5541406e99707w20h20"" width=""20"" height=""20"" alt=""Item Icon for Manectite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding Manectite {Slowbronite;ITEM;slowbronite},"While holding Manectite <a href=""/items/slowbronite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Slowbronite</span><img src=""https://cdn.pokedb.org/31efa9a36b9492581a92a9d91602d37099ff3f78f7fb5c5279910accf15d0189w20h20"" width=""20"" height=""20"" alt=""Item Icon for Slowbronite"" style=""width: 20px; height: 20px""></a>",,,2,1
39,395,,,,,,,,1,1
39,396,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Sharpedonite;ITEM;sharpedonite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/sharpedonite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Sharpedonite</span><img src=""https://cdn.pokedb.org/e336f1b76f0219289dbe3f4abb4acb180d40339aa62f93b542595cfb77d68a1ew20h20"" width=""20"" height=""20"" alt=""Item Icon for Sharpedonite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Sharpedonite;ITEM;sharpedonite},"While holding <a href=""/items/sharpedonite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Sharpedonite</span><img src=""https://cdn.pokedb.org/e336f1b76f0219289dbe3f4abb4acb180d40339aa62f93b542595cfb77d68a1ew20h20"" width=""20"" height=""20"" alt=""Item Icon for Sharpedonite"" style=""width: 20px; height: 20px""></a>",,,2,1
40,400,,,,,,,,1,1
40,401,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Cameruptite;ITEM;cameruptite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/cameruptite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Cameruptite</span><img src=""https://cdn.pokedb.org/61a6081d4cb8fce42b022810b4cb334127056596942a622aa50f21774366709bw20h20"" width=""20"" height=""20"" alt=""Item Icon for Cameruptite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Cameruptite;ITEM;cameruptite},"While holding <a href=""/items/cameruptite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Cameruptite</span><img src=""https://cdn.pokedb.org/61a6081d4cb8fce42b022810b4cb334127056596942a622aa50f21774366709bw20h20"" width=""20"" height=""20"" alt=""Item Icon for Cameruptite"" style=""width: 20px; height: 20px""></a>",,,2,1
41,430,,,,,,,,1,1
41,431,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{clear weather;WEATHER;CLEAR}</span>
  <span>{-;MISC;ARROWL}</span>
  <span>{-;MISC;ARROWR}</span>
  <span>{harsh sunlight;WEATHER;HARSHSUNLIGHT}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">clear weather</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_clear_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">harsh sunlight</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_harshsunlight_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,2,1
41,432,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{harsh sunlight;WEATHER;HARSHSUNLIGHT}</span>
  <span>{-;MISC;ARROWL}</span>
  <span>{-;MISC;ARROWR}</span>
  <span>{rain;WEATHER;RAIN}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">harsh sunlight</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_harshsunlight_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">rain</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_rain_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,3,1
41,433,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{rain;WEATHER;RAIN}</span>
  <span>{-;MISC;ARROWL}</span>
  <span>{-;MISC;ARROWR}</span>
  <span>{hail;WEATHER;HAIL}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">rain</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_rain_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><span style=""text-transform: uppercase; font-family: ui-monospace, SFMono-Regular, Menlo, Monaco, Consolas, 'Liberation Mono', 'Courier New', monospace;"">hail</span><img src=""https://cdn.pokedb.org/cdn_assets/pokemon_assets/encounter_table/weather_blizzard_rate.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,4,1
42,436,,,,,,,,1,1
42,437,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Banettite;ITEM;banettite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/banettite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Banettite</span><img src=""https://cdn.pokedb.org/4fe2cec25d73dd48d5c4daecbc614560aadf873946f471e30f06b92f69e1f14dw20h20"" width=""20"" height=""20"" alt=""Item Icon for Banettite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Banettite;ITEM;banettite},"While holding <a href=""/items/banettite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Banettite</span><img src=""https://cdn.pokedb.org/4fe2cec25d73dd48d5c4daecbc614560aadf873946f471e30f06b92f69e1f14dw20h20"" width=""20"" height=""20"" alt=""Item Icon for Banettite"" style=""width: 20px; height: 20px""></a>",,,2,1
43,442,,,,,,,,1,1
43,443,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Absolite;ITEM;absolite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/absolite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Absolite</span><img src=""https://cdn.pokedb.org/55e3e0033d966fe0e2957e690bff01f026187196d4402347370b94def4937909w20h20"" width=""20"" height=""20"" alt=""Item Icon for Absolite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Absolite;ITEM;absolite},"While holding <a href=""/items/absolite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Absolite</span><img src=""https://cdn.pokedb.org/55e3e0033d966fe0e2957e690bff01f026187196d4402347370b94def4937909w20h20"" width=""20"" height=""20"" alt=""Item Icon for Absolite"" style=""width: 20px; height: 20px""></a>",,,2,1
44,446,,,,,,,,1,1
44,447,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Glalitite;ITEM;glalitite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/glalitite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Glalitite</span><img src=""https://cdn.pokedb.org/2cc4c1cbc9b87f5b795cb9b3472ac527b746c4636bba82eb0cd78a925790de73w20h20"" width=""20"" height=""20"" alt=""Item Icon for Glalitite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Glalitite;ITEM;glalitite},"While holding <a href=""/items/glalitite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Glalitite</span><img src=""https://cdn.pokedb.org/2cc4c1cbc9b87f5b795cb9b3472ac527b746c4636bba82eb0cd78a925790de73w20h20"" width=""20"" height=""20"" alt=""Item Icon for Glalitite"" style=""width: 20px; height: 20px""></a>",,,2,1
45,458,,,,,,,,1,1
45,459,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Salamencite;ITEM;salamencite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/salamencite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Salamencite</span><img src=""https://cdn.pokedb.org/3d1f1d655fc69e15a47f4fc16bef7e8166b9846f5cc3a6c208c2a16c700f981aw20h20"" width=""20"" height=""20"" alt=""Item Icon for Salamencite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Salamencite;ITEM;salamencite},"While holding <a href=""/items/salamencite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Salamencite</span><img src=""https://cdn.pokedb.org/3d1f1d655fc69e15a47f4fc16bef7e8166b9846f5cc3a6c208c2a16c700f981aw20h20"" width=""20"" height=""20"" alt=""Item Icon for Salamencite"" style=""width: 20px; height: 20px""></a>",,,2,1
46,462,,,,,,,,1,1
46,463,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Metagrossite;ITEM;metagrossite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/metagrossite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Metagrossite</span><img src=""https://cdn.pokedb.org/808702bc558f4904ac5e8ed5769ac7b8869934fed13b9cde8f2a6dd3a2f27615w20h20"" width=""20"" height=""20"" alt=""Item Icon for Metagrossite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Metagrossite;ITEM;metagrossite},"While holding <a href=""/items/metagrossite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Metagrossite</span><img src=""https://cdn.pokedb.org/808702bc558f4904ac5e8ed5769ac7b8869934fed13b9cde8f2a6dd3a2f27615w20h20"" width=""20"" height=""20"" alt=""Item Icon for Metagrossite"" style=""width: 20px; height: 20px""></a>",,,2,1
47,467,,,,,,,,1,1
47,468,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Latiasite;ITEM;latiasite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/latiasite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Latiasite</span><img src=""https://cdn.pokedb.org/7f387532aac7f1d2095554d6b760e0b1ae506c7e2320ae5e986888b48d1be212w20h20"" width=""20"" height=""20"" alt=""Item Icon for Latiasite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Latiasite;ITEM;latiasite},"While holding <a href=""/items/latiasite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Latiasite</span><img src=""https://cdn.pokedb.org/7f387532aac7f1d2095554d6b760e0b1ae506c7e2320ae5e986888b48d1be212w20h20"" width=""20"" height=""20"" alt=""Item Icon for Latiasite"" style=""width: 20px; height: 20px""></a>",,,2,1
48,469,,,,,,,,1,1
48,470,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Latiosite;ITEM;latiosite}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/latiosite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Latiosite</span><img src=""https://cdn.pokedb.org/82f4db414d426d34594ea6bc32726f9eb48b417b981a1364f23dbfba56c9292dw20h20"" width=""20"" height=""20"" alt=""Item Icon for Latiosite"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Latiosite;ITEM;latiosite},"While holding <a href=""/items/latiosite"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Latiosite</span><img src=""https://cdn.pokedb.org/82f4db414d426d34594ea6bc32726f9eb48b417b981a1364f23dbfba56c9292dw20h20"" width=""20"" height=""20"" alt=""Item Icon for Latiosite"" style=""width: 20px; height: 20px""></a>",,,2,1
49,471,,,,,,,,1,1
49,472,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Blue Orb;ITEM;blue-orb}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/blue-orb"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Blue Orb</span><img src=""https://cdn.pokedb.org/9fe36c6907c5f9c87a5350c06b281241b788a994e9722d552c1022486ad1aa96w20h20"" width=""20"" height=""20"" alt=""Item Icon for Blue Orb"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Blue Orb;ITEM;blue-orb},"While holding <a href=""/items/blue-orb"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Blue Orb</span><img src=""https://cdn.pokedb.org/9fe36c6907c5f9c87a5350c06b281241b788a994e9722d552c1022486ad1aa96w20h20"" width=""20"" height=""20"" alt=""Item Icon for Blue Orb"" style=""width: 20px; height: 20px""></a>",,,2,1
50,473,,,,,,,,1,1
50,474,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{Red Orb;ITEM;red-orb}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><a href=""/items/red-orb"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Red Orb</span><img src=""https://cdn.pokedb.org/dc464167984e5a91423225f5c522cd4bf58e39f9b8999e807b0029ccfc9706fdw20h20"" width=""20"" height=""20"" alt=""Item Icon for Red Orb"" style=""width: 20px; height: 20px""></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While holding {Red Orb;ITEM;red-orb},"While holding <a href=""/items/red-orb"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Red Orb</span><img src=""https://cdn.pokedb.org/dc464167984e5a91423225f5c522cd4bf58e39f9b8999e807b0029ccfc9706fdw20h20"" width=""20"" height=""20"" alt=""Item Icon for Red Orb"" style=""width: 20px; height: 20px""></a>",,,2,1
51,475,,,,,,,,1,1
51,476,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>Know {Dragon Ascent;MOVE;dragon-ascent}</span>
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>Know <a href=""/moves/dragon-ascent"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Dragon Ascent</span></a></span>
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",While not holding a Z-Crystal,While not holding a Z-Crystal,,,2,1
52,478,,,,,,,,1,1
52,479,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,2,1
52,480,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,3,1
52,481,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",,,,,4,1
53,507,,,,After combat outside or in tall grass,After combat outside or in tall grass,,,1,1
53,508,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",After combat in a cave or on a beach,After combat in a cave or on a beach,,,2,1
53,509,left,"<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span>{-;MISC;ARROWLR}</span>
</div>","<div class=""grid gap-1 justify-center justify-items-center items-center"">
  <span><span style=""display: inline-flex; gap: 0.25rem""><img src=""https://cdn.pokedb.org/cdn_assets/meta_assets/icons/effect_conversion/arrow_left_right.webp"" width=""24"" height=""24"" alt=""stat img"" style=""width: 24px; height: 24px""></span></span>
</div>",After combat in a building,After combat in a building,,,3,1
54,510,,,,Evolved from {Burmy;POKEMON;burmy} - Plant Cloak,"Evolved from <a href=""/pokemon/burmy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Burmy</span><img src=""https://cdn.pokedb.org/233bb8cfaf118271f4207f08391bd8e3df95069619301f2cd9ebbbbe861f5b6fw40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Burmy"" style=""width: 20px; height: 20px""></a> - Plant Cloak",,,1,1
54,512,,,,Evolved from {Burmy;POKEMON;burmy} - Trash Cloak,"Evolved from <a href=""/pokemon/burmy"" style=""display: inline-flex; gap: 0.25rem; font-weight: 700""><span>Burmy</span><img src=""https://cdn.pokedb.org/233bb8cfaf118271f4207f08391bd8e3df95069619301f2cd9ebbbbe861f5b6fw40h40"" width=""20"" height=""20"" alt=""Pokemon Image for Burmy"" style=""width: 20px; height: 20px""></a> - Trash Cloak",,,3,1
55,520,,,,,,,,1,1
